Title,Author,Date,Excerpt
Helicopter crashes at Ikeja Lagos,Ifeoma Okeke-Korieocha,"Aug 01, 2023",A helicopter on Tuesday crashed at the Oba Akran road in the Ikeja area of Lagos. Rescue operations are currently...
Nigeria’s power challenges will be over in 7 years - El- Rufai,Isaac Anyaogu,"Aug 01, 2023","Nigeria’s power challenges will be over within the next seven years with the implementation of the vision, plans and programmes..."
Tribunal reserves judgement in Atiku’s petition against Tinubu,Godsgift Onyedinefu,"Aug 01, 2023",The Presidential Election Petition Tribunal sitting at the court of appeal Abuja has reserved judgment in the petition filed by...
Senate clears David Umahi with 'Bow and go',Obidike Okafor,"Aug 01, 2023","David Umahi, former governor of Ebonyi state who is among the ministerial nominees, got an easy pass during the Senate..."
Naira gains 2.42% as market turnover rises,Hope Moses-Ashike,"Aug 01, 2023","Naira on Tuesday steadied at N870 at the parallel market, while it gained 2.42 percent at the official market on..."
Business activity in Nigeria hits lowest in 4months on rising prices,Bunmi Bailey,"Aug 01, 2023",Business activity in Africa’s biggest economy has dropped to the lowest in four months according to July’s Purchasing Managers’ Index...
FX pressure piles as dealers bid at ₦900/$,Hope Moses-Ashike,"Aug 01, 2023",Foreign exchange pressure in Nigeria has piled up as some dealers have quoted a bid price of N900 per dollar....
Tinubu outlines N125bn plan for MSMEs to ease economic pain,Anthony Ailemen,"Aug 01, 2023","President Bola Tinubu said on Monday that his government would energise the Micro, Small and Medium Enterprises (MSME) sector with..."
Nigeria plans global investment roadshow ahead of NNPC IPO,Isaac Anyaogu,"Aug 01, 2023",A few weeks after the state-oil firms said it has secured the president’s consent to proceed with offering NNPC’s shares...
Labour insists on protest Wednesday,Joshua Bassey,"Aug 01, 2023","The organised labour has insisted on going its planned protest starting from Wednesday, over the removal of petroleum subsidy, just..."
Tinubu outlines plans to ease economic hardship,Anthony Ailemen,"Jul 31, 2023",President Bola Tinubu on Monday rolled out plans to reduce the burden of fuel subsidy removal with an N125b plan...
Read full text of national broadcast: 'New minimum wage is coming'-Tinubu,Anthony Ailemen,"Jul 31, 2023","  After darkness comes the glorious dawn My fellow citizens, I want to talk to you about our economy. It..."
We have saved over N1 trillion from subsidy removal - Tinubu,Temi Bamgbose,"Jul 31, 2023",President Bola Tinubu says Nigeria has been able to save over N1 trillion from the removal of petrol subsidy in...
"Subsidy removal, naira volatility..., key issues Tinubu’s speech will address",Isaac Anyaogu,"Jul 31, 2023","In his speech Monday evening, President Bola Tinubu is expected to address the concerns of Nigerians over the weakening naira..."
"Tinubu removes restrictions on students loan, to provide school buses",Anthony Ailemen,"Jul 31, 2023",In furtherance of his desire to ease the burden of the fuel subsidy removal on students of higher institutions of...
Ikoyi Secretariat: Eyes on Tinubu to end waste,Chuka Uroko,"Jul 31, 2023","Of all the properties abandoned in Lagos by the federal government, the Federal Secretariat Complex Ikoyi stands out as a..."
Nigeria’s biggest firms face naira devaluation crunch,Oladehinde Oladipo,"Jul 31, 2023",Nigeria’s biggest firms are walking a tightrope as a surge in foreign exchange losses has squeezed profit margins for a...
Tinubu to address Nigerians by 7pm today,Temi Bamgbose,"Jul 31, 2023","President Bola Ahmed Tinubu will address the nation today in a live broadcast on Monday, July 31, 2023, at 7..."
First Bank’s virtual AGM set to be battlefield of gladiators,Lolade Akinmurele,"Jul 31, 2023",The eagerly anticipated annual general meeting of First Bank of Nigeria Holdings has taken a curious twist after it has...
"El-Rufai's energy ministry focuses on gas, petrochemicals",Isaac Anyaogu,"Jul 31, 2023","Nasir El-Rufai, former governor of Kaduna State, will head up the new Ministry of Energy focused on the larger strategic..."
Abuja: Beautiful city tainted by poor transport system,Gbemi Faminu,"Jul 31, 2023","In April this year, Joseph Samuel, a 25-year-old graduate, migrated from the bustling city of Lagos to Abuja, the nation’s..."
Controversy trails Obazee’s appointment by Tinubu,Obidike Okafor,"Jul 30, 2023",Controversy has continued to trail the appointment of Osayande Obazee as Special Investigator to probe the Central Bank of Nigeria...
"Meet Jim Obazee, the man appointed to probe CBN",Anthony Ailemen,"Jul 30, 2023",Jim Obazee is the former Executive Secretary/Chief Executive Officer of the Financial Reporting Council of Nigeria. Jim Osayande Obazee is...
Tinubu appoints Obazee to probe CBN,Anthony Ailemen,"Jul 30, 2023","President Bola Tinubu has appointed Osayande Obaze, the  former Chief Executive Officer of the Financial Reporting Council, as a Special..."
Atiku berates Economist Intelligence Unit over tribunal outcome prediction,Anthony Ailemen,"Jul 30, 2023","Former Vice President Atiku Abubakar and Peoples Democratic Party ( PDP) candidate in the 2023 Presidential election, on Sunday, lampooned..."
Niger Coup: ECOWAS demands junta cede power in 7 days,David Ijaseun,"Jul 30, 2023","In response to the military junta’s takeover in Niger, the Economic Community of West African States (ECOWAS) has given the..."
World Bank sees 7.1m more Nigerians pushed to poverty without social protection programs,Folake Balogun,"Jul 30, 2023",World Bank has said 7.1 million additional Nigerians will be pushed into poverty by inflation in the absence of any...
Japa syndrome: Nigerians in new wave of voluntary slavery,Emelike Obinna,"Jul 30, 2023","Gathering around the Point-Of-No-Return monument for pictures, some young adults on private bonding event at the Badagry beach in Lagos..."
Powerful Nigerians who turned religious after prison experience,Zebulon Agomuo,"Jul 30, 2023","Many of those who saw the video and photos of Godwin Emefiele, the suspended governor of the Central Bank of..."
"High school fees, transport fares, others threaten students’ future",Iwok Iniobong,"Jul 30, 2023","The prevailing harsh economic situation may threaten the academic future of many Nigerian students, an investigation by BusinessDaySunday has shown...."
Treasury bills rates surge after CBN narrows interest rate corridor,Hope Moses-Ashike,"Jul 29, 2023","Nigerian Treasury bill yields across short, medium, and long term tenors have surged in the last three days after the..."
"EIU sees naira falling to N1,018/$ on rising inflation",Hope Moses-Ashike,"Jul 29, 2023","The pressure on naira is expected to continue in the near term, falling to as low as N1,018 per dollar..."
NERC allows compensation claims for electricity outages,Isaac Anyaogu,"Jul 29, 2023",Electricity customers can demand compensation for lost hours when power distribution companies fail to supply contracted hours under the Service-based...
"Supreme Court won't overturn Tinubu’s presidency, Economist Intelligence Unit predicts",Isaac Anyaogu,"Jul 29, 2023","The victory of President Bola Tinubu would not be overturned at the Supreme Court, analysts at the Economist Intelligence Unit..."
Pensioners suffer as wastefulness colour PTAD's operations,Gbemi Faminu,"Jul 29, 2023",Staff and stakeholders of Nigeria’s Pension Transitional Arrangement Directorate (PTAD) are up in arms against the management of the organisation...
"'Japa' wave, rising rents take toll on school business",Charles Ogwo,"Jul 29, 2023","The mass emigration of professionals from Nigeria, popularly called ‘japa’ (a Yoruba word for “run quickly”), and surging rental costs..."
Naira weakens as demand pressure resurfaces,Hope Moses-Ashike,"Jul 28, 2023","The Naira experienced renewed demand pressure in the foreign exchange (FX) market on Friday, following a period of moderation lasting..."
Nigeria’s opaque external reserves drain confidence in FX reform,Lolade Akinmurele,"Jul 28, 2023",The Central Bank of Nigeria (CBN) is finding that floating the naira is not enough to lure foreign investors back...
El-Rufai to head Nigeria’s new Ministry of Energy,Isaac Anyaogu,"Jul 28, 2023","Nasir El-Rufai, former governor of Kaduna State will head up the new Ministry of Energy that President Bola Tinubu has..."
Nigerian banks increase salaries to cushion economic downturn,Olamide Ologunagbe,"Jul 28, 2023","In a bid to reduce the impact of rising inflation and the economic effect of subsidy removal, Nigerian banks have..."
Tinubu's team: Career politicians trump technocrats,Oladehinde Oladipo,"Jul 28, 2023",Five months after winning the February 25 presidential election and almost two months after he was sworn in for a...
Nigeria's economy loses as foreign labels secure Afrobeats rights,Frank Eleanya,"Jul 28, 2023","In June 2023, Burna Boy became the first African artist to headline a stadium show in the United Kingdom. The..."
Nigerians gulp spirits as beer loses flavour,Oladehinde Oladipo,"Jul 28, 2023","Tunde Akinola, a recent graduate, was not really interested in spirits until recently. “I appreciate the different flavours that can..."
Senate to screen Tinubu ministerial nominees Monday,BusinessDay,"Jul 28, 2023","The Senate says it has postponed its annual recess to Monday, July 31, after the screening and confirmation of President..."
Nigerians react as Tinubu releases ministerial list without portfolios,David Ijaseun,"Jul 27, 2023",The release of President Bola Tinubu’s list of 28 ministerial nominees without portfolios have elicited a spate of reactions from...
25% of Tinubu's ministerial nominees are women,Bunmi Bailey,"Jul 27, 2023",Women constitute a quarter of President Bola Tinubu’s ministerial nominees unveiled by the Senate on Thursday. The ministerial list contains...
"Oyetola, Fashola, missing from Tinubu’s ministerial list, see full list",Kelvin Okojie,"Jul 27, 2023","Nigeria’s President, Bola Ahmed Tinubu, submitted his long-awaited ministerial list to the Senate on Thursday, aiming to meet the constitutional..."
Akpabio announces presentation of 28 ministerial nominees,BusinessDay,"Jul 27, 2023","The Senate President, Godswill Akpabio has announced the presentations of 28 names on the ministrial list in the floor of..."
"Tinubu releases ministerial list, El-Rufai, Wike make list — Source",BusinessDay,"Jul 27, 2023","The immediate past governors of Kaduna and Rivers States, Mallam Nasiru El-Rufai and Nyesom Wike, with an eminent medical scholar..."
Job losses rise as 4m small businesses shut in two months,Bunmi Bailey,"Jul 27, 2023","Job losses in Nigeria, Africa’s biggest economy, are on the rise as a result of the surge in petrol prices..."
Dying minutes for Tinubu’s ministerial list today,Anthony Ailemen,"Jul 27, 2023","President Bola Tinubu, who clocks 60 days in office on Thursday (today), has a few hours left to submit his..."
"Only over 9,000 doctors left in Nigeria on surging ‘japa’ pressure – NARD",Temitayo Ayetoto-Oladehinde,"Jul 27, 2023","Only a few over 9,000 medical doctors are left with the Nigerian Association of Resident Doctors (NARD) due to the..."
Subsidy: Tinubu pleads with labour unions for more time,Anthony Ailemen,"Jul 26, 2023","President Bola Tinubu on Wednesday night, pleaded with the organised labour for more time to look into requests for palliatives..."
Tinubu treating Nigerians like slaves - NLC,Joshua Bassey,"Jul 26, 2023",The Nigeria Labour Congress (NLC) has accused the President Bola Tinubu-led Federal Government of treating Nigerians “like slaves and conquered...
Businesses to get cheap capital on exchange rate unification,Folake Balogun,"Jul 26, 2023","Exchange rate unification will lead to access to capital at a cheaper rate for Small and medium-sized enterprises (SMEs), according..."
Naira appreciates as demand moderates,Hope Moses-Ashike,"Jul 26, 2023",Naira on Wednesday appreciated against the dollar across foreign exchange (FX) market as demand for the greenback moderated. In some...
"Tinubu to submit ministerial list on Thursday, beat 60-day deadline",Anthony Ailemen,"Jul 26, 2023","There are indications that the long awaited Ministerial list will be submitted by President Bola Tinubu on Thursday, just in..."
Stocks to moderate rally as yields rise on rate hike,Iheanyi Nwachukwu,"Jul 26, 2023",The outcome of Tuesday’s Monetary Policy Committee (MPC) meeting is sending conflicting signals to the financial markets on the policy...
Grid power drops 20% as debts hamper gas supply,Isaac Anyaogu,"Jul 26, 2023","Electricity generating companies (GenCos) are not turning on their full thermal plant capacity due to a drop in gas supply,..."
"How seasonal farming, R&D constrain tomato production",Josephine Okojie,"Jul 26, 2023",Nigeria’s inability to grow tomatoes all year and carry out extensive research and development are major constraints to the nation’s...
Opportunities seen in Nigeria's 60% tomato post-harvest losses,Bunmi Bailey,"Jul 26, 2023",Nigeria’s 60 percent tomato post-harvest losses as a result of poor storage facilities and cold chain infrastructures across the country...
SIM boxing: Scam on Buhari's daughter unmasks dark industry,Frank Eleanya,"Jul 26, 2023","Like every doting parent, Muhammadu Buhari, former President of Nigeria, was looking forward to the call with his daughter on..."
"Despite Tinubu’s reforms, IMF retains 3.2% economic growth forecast for Nigeria",Folake Balogun,"Jul 25, 2023","The US-based International Monetary Fund (IMF) has retained its 3.2 percent forecast for Nigeria’s economic growth in 2023, despite President..."
"CBN maintains Emefiele’s hawkish stance, raise rate to 18.75",Hope Moses-Ashike,"Jul 25, 2023","On Tuesday, the Central Bank of Nigeria (CBN) raised its benchmark interest rate, known as the Monetary Policy Rate (MPR),..."
"Seplat, Unilever, others drive 1.11% rally on Nigerian bourse",Iheanyi Nwachukwu,"Jul 25, 2023","The bulls continued their reign on Tuesday July 25 as buy-side activities on the bourse favoured stocks like Seplat, Unilever,..."
"DSS defies court ruling, rearrests Emefiele",Hope Moses-Ashike,"Jul 25, 2023","After all the drama at the Federal high court, which lasted for about three hours, the Department of State Service..."
Emefiele to stay at Ikoyi Correctional Centre pending bail perfection,Iheanyi Nwachukwu,"Jul 25, 2023","On Tuesday, the Federal High Court Sitting in Lagos granted bail to Godwin Emefiele, the suspended Governor of the Central..."
Court sets bail at ₦20m for Emefiele,Hope Moses-Ashike,"Jul 25, 2023","The Federal High Court sitting in Ikoyi Lagos has granted bail to Godwin Emefiele, the suspended CBN governor. The bail..."
Timeline of Emefiele's suspension and arrest,Olamide Ologunagbe,"Jul 25, 2023","The suspended Governor of the Central Bank of Nigeria (CBN), Godwin Emefiele, appeared before a Federal High Court in Lagos..."
How monetary policy decisions of CBN affect you,Hope Moses-Ashike,"Jul 25, 2023",The Central Bank of Nigeria (CBN) began on Monday its two-day Monetary Policy Committee (MPC) meeting and will announce its...
Cost of jollof surges 34% in one year,Bunmi Bailey,"Jul 25, 2023",The average cost of preparing a pot of jollof rice for a Nigerian family of five has risen by 34.2...
Competition hots up as pension fund managers consolidate,Modestus Anaesoronye,"Jul 25, 2023",Fierce competition has emerged as pension fund administrators (PFAs) are gearing up to ramp up their market share. Access Pensions...
Naira loses 1.79% at official FX market on dollar shortage,Hope Moses-Ashike,"Jul 25, 2023",The foreign exchange (FX) market closed on Monday with naira losing 1.79 percent at the Investors’ and Exporters’ (I&E) forex...
"CBN confirms operating licenses of 5,687 BDCs",Hope Moses-Ashike,"Jul 24, 2023","The Central Bank of Nigeria (CBN) has updated the number of Bureau De Changes (BDCs) operating there, confirming 5,687 operating..."
Tinubu's policies drive growth of green buildings,Chuka Uroko,"Jul 24, 2023",Nigerians may be waking up to more green buildings coming to the property market as real estate product suppliers adjust...
Subsidy removal: Pressure turns on N250bn autogas fund,Obidike Okafor,"Jul 24, 2023",The growing demand for palliatives following the subsidy removal makes now the most auspicious time to implement Nigeria’s N250 billion...
"CSOs storm Edo streets, decry nation's state of affairs",BusinessDay,"Jul 24, 2023",Various civil society groups on Monday flocked to the streets of Benin City to protest the rising rate of sufferings...
"How Nigeria can increase cocoa production, compete in global market",BusinessDay,"Jul 24, 2023",Nigerian cocoa farmers must prioritise the quality and quantity of their production leveraging climate-smart agriculture and initiatives to improve traceability...
"Takeaways from report on tracking SDG7 - Clean, affordable energy",Abubakar Ibrahim,"Jul 24, 2023",The annual Tracking SDG7 report is produced to monitor global progress toward the Sustainable Development Goal 7 (SDG7) and to...
Twitter unveils the 'X': A bold leap towards the future of social media,Obidike Okafor,"Jul 24, 2023","In an exciting announcement on Monday, Elon Musk and Twitter CEO Linda Yaccarino revealed the highly anticipated logo for the..."
Guyana’s $1.4bn oil savings avoid Nigeria’s folly,Isaac Anyaogu,"Jul 24, 2023",The tiny South American oil producer Guyana set up a Sovereign Wealth Fund in 2021 to avoid the mistake Nigeria...
Oil firms bet on reviving existing wells than drill new ones,Isaac Anyaogu,"Jul 24, 2023","Oil companies are now preferring to boost production from existing fields rather than drill new wells, a play at cutting..."
EndSARS: 103 persons died during protest — Lagos govt admits,Joshua Bassey,"Jul 23, 2023",The Lagos State government has admitted that 103 persons died during the October 2020 EndSARS protests that erupted in the...
N70bn budget: Nigerian lawmakers seek luxury amid constituents' misery,David Ijaseun,"Jul 23, 2023","The story of Isola Adeola, a tricycle parts dealer in Ikeja, Lagos is a harrowing tale of anger and hunger,..."
"Tinubu's reforms: There will be gains in Q1 2024, says Rewane",Chioma Onuh,"Jul 23, 2023","The economic changes and policies of President Bola Tinubu’s administration would start producing returns from the first quarter of 2024,..."
25m jobs at stake as farmers see poultry sector collapse looming,Remi Feyisipo,"Jul 23, 2023","Poultry Association of Nigeria (PAN), South West Zone, has appealed to President Bola Tinubu, Central Bank of Nigeria (CBN) and..."
Nigeria’s new infrastructure fund faces legal hurdles,Lolade Akinmurele,"Jul 23, 2023","Nigeria’s newly created Infrastructure Support Fund (ISF), a government initiative targeted at cushioning the effects of the country’s petrol subsidy..."
Anxiety grips Nigerians two months to Tribunal's verdict,Nosa Igbinadolor,"Jul 23, 2023","Barring any unforeseen circumstances, the presidential elections petition tribunal (PEPT), is expected to deliver its judgment sometime in September. As..."
Nigerians set last hope on Tinubu's cabinet,Emelike Obinna,"Jul 23, 2023",We need result-oriented ministers to kick start recovery in our economy'...
Today's Nigeria 'peace time' is worse than any war time - Chidi Amuta,Zebulon Agomuo,"Jul 23, 2023","A former lecturer at the University of Port Harcourt and publicist, Chidi Amuta has deplored the high level of poverty..."
"As Nigeria mulls separate gas ministry, oil companies want better fiscal terms",Isaac Anyaogu,"Jul 22, 2023","Oil companies are urging the Federal Government to improve fiscal terms for gas, especially those not associated with oil drilling,..."
Gazprom’s oil field operations offer lessons to NNPC,Abubakar Ibrahim,"Jul 22, 2023","Moscow, Russia||The operations and management of Gazprom Group’s Bovanenkovskoye oil, gas and condensate field located in the Yamal Peninsula to..."
Motorists to resume suffering on Eko Bridge as FG announces 40-day closure,Chuka Uroko,"Jul 22, 2023","Once again, motorists will be experiencing another round of suffering commuting to Lagos Island as the federal government in collaboration..."
Five fun things to do at Murtala Muhammed International Airport,Ifeoma Okeke-Korieocha,"Jul 22, 2023",You might have had one of those days when you stack your luggage in the trunk of the car ready...
"NHIA Act: Lagos, health insurers lock horns over premium",Temitayo Ayetoto-Oladehinde,"Jul 21, 2023",The Lagos State government’s quest to implement the universal health coverage goal of the National Health Insurance Authority (NHIA) Act...
What analysts expect from first MPC meeting after Emefiele's ouster,Hope Moses-Ashike,"Jul 21, 2023",Analysts’ expectations are divergent ahead of the first Monetary Policy Committee (MPC) meeting after the suspension of Godwin Emefiele as...
FG cuts electricity subsidies by 80% as DisCos demand tariff increase,Isaac Anyaogu,"Jul 21, 2023",The Federal Government’s subsidy to the electricity sector has fallen by about 80 percent between 2019 and 2022 an analysis...
"Togo, Benin, Niger owe Nigeria $18.29m for electricity consumed in 2022",Cynthia Egboboh,"Jul 21, 2023","Nigeria’s International electricity customers-Togo, Benin and Niger failed to remit $18.29 million for electricity consumed, as total value of electricity..."
Tinubu approves infrastructure support funds for states,Anthony Ailemen,"Jul 21, 2023",President Bola Tinubu on Thursday approved the establishment of Infrastructure Support Fund (ISF) for the 36 States of the Federation...
How Nigeria can move from net food importer to exporter,Josephine Okojie,"Jul 21, 2023","For Nigeria to maximise its agric value chain opportunities, boost foreign exchange earnings and transit from a net importer to..."
Here are 10 fuel-efficient cars to buy as petrol prices surge,Amaka Anagor-Ewuzie,"Jul 21, 2023","As Nigerians grapple with higher petrol prices following the removal of subsidy, many potential car buyers are now being cautious..."
"FG, states, LGAs share N907bn, highest FAAC since January",Cynthia Egboboh,"Jul 20, 2023","In what has been described as a revenue windfall, the three tiers of government, the federal, states and local government..."
NEC dumps Buhari’s national social transfer register,Anthony Ailemen,"Jul 20, 2023","The National Economic Council (NEC) on Thursday dumped former President Muhammadu Buhari’s national social register, opting for a new social..."
"Japa: Nigerians sell properties to afford fares to US, Europe",Ifeoma Okeke-Korieocha,"Jul 20, 2023","For David Ademola, selling his poultry farm was never part of the plans in his quest to relocate his family..."
Tax exemption keeps Nigeria’s petrol price lower than African peers,Isaac Anyaogu,"Jul 20, 2023","An analysis of the petrol prices in Africa indicates that at the current rate of N617 per litre, the only..."
FAAC windfall: Eyes on squandermania governors,Oladehinde Oladipo,"Jul 20, 2023","With higher allocations from the Federal Account Allocation Committee (FAAC) following the floating of the naira, Nigerians are calling on..."
Investors see more rewarding H2 as equities remain attractive,Iheanyi Nwachukwu,"Jul 20, 2023",Investors are bullish that the second half of this year will be more rewarding as the stock rally occasioned by...
Money supply up 16% on FX reforms,Hope Moses-Ashike,"Jul 19, 2023",Money supply in Nigeria rose by 16.53 percent last month on the back of the implementation of foreign exchange reforms...
Govt's inaction constrains growth prospects - Business leaders,Oladehinde Oladipo,"Jul 19, 2023",Business leaders have said removing structural bottlenecks is the biggest hurdle facing Nigeria’s growth prospects in coming years. The business...
Naira gains 6% against dollar at I&E window,Hope Moses-Ashike,"Jul 19, 2023","At the Investors’ and Exporters’ (I&E) forex window, the naira gained 6.58 percent as the dollar was quoted at N742.93..."
Nigeria faces catastrophic food insecurity on accelerating inflation,Godsgift Onyedinefu,"Jul 19, 2023","Nigeria has been listed among countries to face catastrophic levels of food insecurity in 2023, according to the World Bank..."
Tougher times as petrol sells for over N600,Gbemi Faminu,"Jul 19, 2023","Nigerians saw the second hike in petrol prices on Tuesday since the removal of subsidy, with the product being sold..."
Explainer: Why airfares from Nigeria are higher than African peers,Ifeoma Okeke-Korieocha,"Jul 19, 2023",A recent check on ticket price showed that a one-way economy class ticket from Lagos to London on Turkish Airlines...
"Tinubu wants N8,000 palliative to households reviewed",Anthony Ailemen,"Jul 18, 2023","President Bola Tinubu has ordered a review of the N8,000 earlier set aside as palliative for 12 million households for..."
Petrol prices jump 15% in major cities as reality of market forces dawns,Isaac Anyaogu,"Jul 18, 2023",Petrol prices at the retail outlets of the national oil company located in Abuja jumped from N537 to N617 per...
Naira exchanges at N825/$ Tuesday as demand intensifies,Hope Moses-Ashike,"Jul 18, 2023","Naira on Tuesday exchanged with the dollar at an average rate of N825 as demand intensifies at the parallel market,..."
Photos: NNPCL raises petrol price to N568/litre in Lagos,Chioma Onuh,"Jul 18, 2023","A visit to an NNPC filling station in the Ikoyi area of Lagos, confirms that the fuel price has been..."
"Nigeria’s half-year crude, condensate output dips 27% in four years",Abubakar Ibrahim,"Jul 18, 2023","Nigeria’s average crude oil, blended and unblended condensate production in the first half of 2023 has hit 1.45 million barrels..."
PMS now N617 per litre as NNPCL adjust prices in Abuja,Gbemi Faminu,"Jul 18, 2023",The Nigerian National Petroleum Company Limited (NNPCL) has adjusted the price of PMS to as high as N617 per litre...
Farmers reject CBN role in Tinubu’s food security plan,Josephine Okojie,"Jul 18, 2023","For Nigeria to attain food security, maximise its agricultural value chain opportunities and create jobs for its teeming youth population,..."
Higher food prices fuel inflation amid emergency,Damilola Odifa,"Jul 18, 2023","Nigeria’s headline inflation rose for the sixth consecutive time to 22.79 percent in June, largely fuelled by soaring food prices..."
Explainer: Why June inflation failed to reflect fuel price hike,Eniola Olatunji,"Jul 18, 2023",Some economists have said it is still too early to gauge the true impact of the recent petrol subsidy removal...
Nigeria needs $15bn to unlock digital future –MTN chief,Frank Eleanya,"Jul 17, 2023","To resolve the persistent poor network quality, increase the speed of internet connectivity, expand digital inclusion and put the country..."
FG confirms first case of Anthrax disease in Nigeria,Cynthia Egboboh,"Jul 17, 2023","The Federal Ministry of Agriculture and Rural Development says it has confirmed an anthrax disease case in Niger State, Nigeria...."
Naira hits N820 per dollar as demand rises further,Hope Moses-Ashike,"Jul 17, 2023","Naira on Monday further weakened by 1.09 percent following increased demand for dollars in the parallel market, also known as..."
Nigeria’s June inflation rises marginally despite hike in petrol prices,Damilola Odifa,"Jul 17, 2023","Nigeria’s headline inflation rate accelerated marginally for the sixth consecutive time to 22.79 percent in June, according to data by..."
"Explainer: Electricity tariff will rise from August 1, but shouldn’t NERC be transparent about this?",BusinessDay,"Jul 17, 2023","Nigerians are expecting the regulator of the electricity sector, NERC to sanction the planned jump in power tariff from Tuesday..."
Worrying signs as pre-election violence threatens Kogi guber poll,Iwok Iniobong,"Jul 17, 2023","Few months to the Kogi State gubernatorial election, the recurring problem of politically motivated violence, and attacks on perceived opponents..."
Nigerians shelve plans to change cars as prices skyrocket,Amaka Anagor-Ewuzie,"Jul 17, 2023","With prices of cars soaring beyond many Nigerians’ reach, Anthony Ike plans to keep his seven-year-old Toyota Corolla for at..."
Nigerian firms that braved 62 years of headwinds,Oladehinde Oladipo,"Jul 17, 2023","For more than six decades, some companies have been operating in Nigeria despite many economic challenges and political uncertainties that..."
"How Zenith Bank, GTCO outpaced peers in race for liquid assets",Folake Balogun,"Jul 17, 2023",Zenith Bank Plc and Guaranty Trust Holding Company Plc (GTCO) were the most liquid banks in the first quarter of...
Lawmakers under fire over N70bn palliative,Gbemi Faminu,"Jul 16, 2023",The N70 billion set aside “to improve the working conditions of its new members” has been condemned as negating the...
"N8,000 too small to make desired impact in people's lives",Iwok Iniobong,"Jul 16, 2023",The Federal Government has come under heavy criticism across the country over its plan to give 12 million poor vulnerable...
"Plateau, Benue killings: Are they reprisal or calculated attacks?",Emelike Obinna,"Jul 16, 2023","With the new wave of killings, particularly in the north-central states of Plateau and Benue, it seems another season of..."
Oil pipelines surveillance contract: How Asari Dokubo is trying to eat Tompolo’s lunch,BusinessDay,"Jul 16, 2023",Nigeria’s Niger Delta crisis continues to threaten Africa’s biggest economy. Long after violent militant groups ceased fire after being offered...
CBN to blacklist directors with more than one year non-performing loans,Hope Moses-Ashike,"Jul 15, 2023","The Central Bank of Nigeria (CBN) Friday said it would sanction, by blacklisting bank directors with loans that remain non-performing..."
Underdeveloped healthcare in focus as N1trn saving eludes Nigeria,Temitayo Ayetoto-Oladehinde,"Jul 15, 2023","The underdevelopment of Nigeria’s healthcare value chain is impeding potential savings of N1 trillion in economic cost, leaving key industry..."
Experts fault FG’s planned taxes on informal businesses,Cynthia Egboboh,"Jul 15, 2023",The federal government’s move to tax the informal sector could worsen the burden of small business owners and heighten poverty...
CBN cuts merchant banks' CRR to 10%,Hope Moses-Ashike,"Jul 15, 2023",The Central Bank of Nigeria (CBN) on Friday revised the Cash Reserve Ratio (CRR) of merchant banks to 10 percent...
90% of African businesses neglect cybersecurity protocol - Dell,Frank Eleanya,"Jul 14, 2023","Businesses in Africa are a breath away from being hit by a cyber attack, as new a report from Dell..."
Access Bank to acquire Standard Chartered’s subsidiaries in five African countries,Oladehinde Oladipo,"Jul 14, 2023","Standard Chartered has finalised an agreement to sell its subsidiaries in Angola, Cameroon, The Gambia, Sierra Leone, and its consumer,..."
"Curriculum, mastering limit Nigeria’s education system",Charles Ogwo,"Jul 14, 2023","Uriel Emmanuel applied for a job with a multinational firm as a computer science graduate. His resume got short-listed, and..."
CEOs outline steps to make Nigeria economic giant,Olamide Ologunagbe,"Jul 14, 2023",Leaders from the private and public sectors who converged on Lagos Thursday to chart a course to growth and development...
20 state govts seek $540m AfDB funding for agro-industrial zones - Adesina,Isaac Anyaogu,"Jul 13, 2023",Twenty Nigerian states have expressed interest in accessing over half a billion dollars in international financing to create agro-industrial zones...
Nigeria can emerge 5th largest economy by 2075 – Mupita,Chinwe Michael,"Jul 13, 2023",Mupita said that Nigeria has what it takes to become one of the biggest economies in the world. This is...
Why Nigeria should not be poor - Adesina,Olamide Ologunagbe,"Jul 13, 2023","A prosperous future can also be supported by a robust private sector to unlock wealth but for Nigeria, time is..."
How Edo is closing 50% gap in education - Obaseki,Eniola Olatunji,"Jul 13, 2023","Godwin Obaseki, the governor of Edo State has said the state has set up parameters to play its part in..."
Nigeria's economic growth depends on operations of Dangote refinery -Kale,Olamide Ologunagbe,"Jul 13, 2023","Yemi Kale, Partner and Chief Economist, KPMG in Nigeria noted the Nigeria’s economic growth is dependent on the operations of..."
Automotive sector the lowest employer of labour - Autochek CEO,Olamide Ologunagbe,"Jul 13, 2023","Etop Ikpe,Chief Executive Officer, Autochek Africa, noted that the automotive sector is the lowest employer of labour. He said this..."
Sanusi weighs in on Ecobank vs Otudeko saga,Oladehinde Oladipo,"Jul 13, 2023","Sanusi Lamido Sanusi, former governor of the Central Bank of Nigeria, has affirmed that the ruling of the Bankers’ Committee..."
Nigeria repays last tranche of $500m Eurobond borrowed by Jonathan,Lolade Akinmurele,"Jul 12, 2023",Nigeria reaffirmed its commitment to meeting its debt service obligations after the government on Wednesday redeemed a $500 million Eurobond...
Nigeria expects $20bn foreign direct investments as oil projects get green light,Isaac Anyaogu,"Jul 12, 2023",Nigeria’s oil sector may see between $18 and $20 billion worth of investments as oil companies try to restart previously...
